#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
54,P211_180_W8_R10,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,TRNSYS Completed Successfully,0,31,696.6000 Seconds,0.00%,-
58,P211_180_W8_R12,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.12,TRNSYS Completed Successfully,0,31,696.0400 Seconds,0.00%,-
62,P211_180_W8_R14,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.14,TRNSYS Completed Successfully,0,31,700.0200 Seconds,0.00%,-
46,P211_180_W8_R6,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.06,TRNSYS Completed Successfully,0,31,693.9900 Seconds,0.00%,-
50,P211_180_W8_R8,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.08,TRNSYS Completed Successfully,0,31,694.8900 Seconds,0.00%,-
55,P211_270_W8_R10,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,TRNSYS Completed Successfully,0,31,694.5600 Seconds,0.00%,-
59,P211_270_W8_R12,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.12,TRNSYS Completed Successfully,0,31,694.0500 Seconds,0.00%,-
63,P211_270_W8_R14,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.14,TRNSYS Completed Successfully,0,31,699.2900 Seconds,0.00%,-
47,P211_270_W8_R6,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.06,TRNSYS Completed Successfully,0,31,695.7800 Seconds,0.00%,-
51,P211_270_W8_R8,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.08,TRNSYS Completed Successfully,0,31,694.8100 Seconds,0.00%,-
53,P211_90_W8_R10,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,TRNSYS Completed Successfully,0,31,695.7000 Seconds,0.00%,-
57,P211_90_W8_R12,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.12,TRNSYS Completed Successfully,0,31,696.4600 Seconds,0.00%,-
61,P211_90_W8_R14,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.14,TRNSYS Completed Successfully,0,31,697.9600 Seconds,0.00%,-
45,P211_90_W8_R6,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.06,TRNSYS Completed Successfully,0,31,695.6900 Seconds,0.00%,-
