#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
61,P211_90_W8_R14,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.14,"TRNSYS Completed Successfully",0,31,1495.5000 Seconds,0.0%,-
45,P211_90_W8_R6,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.06,"TRNSYS Completed Successfully",0,31,1453.5000 Seconds,0.0%,-
49,P211_90_W8_R8,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.08,"TRNSYS Completed Successfully",0,31,1451.8300 Seconds,0.0%,-
64,P212_0_W8_R10,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,"TRNSYS Completed Successfully",0,30,1509.1700 Seconds,0.0%,-
66,P212_180_W8_R10,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,"TRNSYS Completed Successfully",0,31,1507.1899 Seconds,0.0%,-
67,P212_270_W8_R10,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,"TRNSYS Completed Successfully",0,31,1507.1899 Seconds,0.0%,-
65,P212_90_W8_R10,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,"TRNSYS Completed Successfully",0,31,1504.4399 Seconds,0.0%,-
68,P221_0_W6_R10,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,"TRNSYS Completed Successfully",0,30,1506.7700 Seconds,0.0%,-
72,P221_0_W8_R10,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,"TRNSYS Completed Successfully",0,30,1405.3300 Seconds,0.0%,-
70,P221_180_W6_R10,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,"TRNSYS Completed Successfully",0,31,1505.9100 Seconds,0.0%,-
74,P221_180_W8_R10,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,"TRNSYS Completed Successfully",0,31,1394.9500 Seconds,0.0%,-
71,P221_270_W6_R10,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,"TRNSYS Completed Successfully",0,31,1505.0699 Seconds,0.0%,-
75,P221_270_W8_R10,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,"TRNSYS Completed Successfully",0,31,1394.9600 Seconds,0.0%,-
69,P221_90_W6_R10,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,"TRNSYS Completed Successfully",0,31,1514.9600 Seconds,0.0%,-
73,P221_90_W8_R10,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,"TRNSYS Completed Successfully",0,31,1399.7400 Seconds,0.0%,-
76,P222_0_W6_R10,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,"TRNSYS Completed Successfully",0,30,1390.7800 Seconds,0.0%,-
80,P222_0_W8_R10,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,"TRNSYS Completed Successfully",0,30,882.1400 Seconds,0.0%,-
78,P222_180_W6_R10,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,"TRNSYS Completed Successfully",0,31,1354.4700 Seconds,0.0%,-
82,P222_180_W8_R10,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,"TRNSYS Completed Successfully",0,31,883.5400 Seconds,0.0%,-
79,P222_270_W6_R10,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,"TRNSYS Completed Successfully",0,31,1353.5900 Seconds,0.0%,-
83,P222_270_W8_R10,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,"TRNSYS Completed Successfully",0,31,851.6300 Seconds,0.0%,-
77,P222_90_W6_R10,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,"TRNSYS Completed Successfully",0,31,1383.7300 Seconds,0.0%,-
81,P222_90_W8_R10,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,"TRNSYS Completed Successfully",0,31,886.8800 Seconds,0.0%,-
